Configuration;Iteration;The initial best way;Its distance;The best way after algorithm;Its distance
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;3;8-6-14-7-15-12-2-1-3-9-5-11-13-4-10-8;98.69;8-6-14-7-15-12-2-1-3-9-5-11-13-4-10-8;98.69
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-2;4;5-1-8-13-6-11-10-2-15-14-7-12-4-9-3-5;109.61;5-1-8-13-6-11-10-2-15-14-7-12-4-9-3-5;109.61
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;1;12-15-8-11-1-9-5-14-10-4-3-7-13-2-6-12;112.66;10-13-5-1-11-4-8-14-3-6-12-7-9-2-15-10;102.83
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;2;9-2-10-14-15-8-4-6-1-13-5-11-7-12-3-9;100.56;9-2-10-14-15-8-4-6-1-13-5-11-7-12-3-9;100.56
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;3;5-1-9-13-8-3-2-14-11-7-12-15-4-10-6-5;115;3-9-14-15-2-12-10-1-8-13-4-5-11-7-6-3;109.96
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP10 PC-3;4;5-10-1-8-13-9-3-14-15-11-7-2-12-4-6-5;120.65;9-2-8-13-1-5-3-11-10-15-12-4-14-7-6-9;106.78
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;1;15-7-13-5-11-8-12-10-4-2-6-9-1-3-14-15;101.87;14-3-13-5-11-8-12-10-4-2-6-9-1-15-7-14;98.38
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;2;3-5-8-7-9-13-11-14-6-2-15-1-4-10-12-3;120.28;5-13-11-6-15-7-4-3-9-2-8-14-12-10-1-5;97.94
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;3;7-4-11-1-15-2-8-12-14-3-6-9-10-13-5-7;126.17;4-8-12-1-5-13-11-2-9-3-6-14-10-7-15-4;90.22
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-1;4;7-10-11-5-14-15-8-9-2-12-13-1-4-6-3-7;120.5;3-10-14-4-7-6-12-9-5-2-15-8-13-11-1-3;104.19
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;1;12-10-5-11-1-8-3-9-13-7-15-4-6-14-2-12;101.34;15-7-5-11-1-8-3-9-13-4-6-2-12-14-10-15;89.95
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;2;5-2-6-14-4-10-7-3-8-13-11-9-1-12-15-5;119.32;3-2-7-15-6-9-5-1-4-12-14-13-11-8-10-3;98.28
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;3;6-11-5-14-15-4-10-7-12-2-1-9-13-8-3-6;100.39;14-15-4-12-2-6-7-10-3-5-1-9-13-11-8-14;86.92
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-2;4;10-1-3-2-14-7-6-9-4-12-15-13-11-5-8-10;109.74;2-1-8-6-11-5-13-9-15-14-7-10-4-12-3-2;103.56
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;1;15-11-9-12-2-13-10-6-3-7-4-14-1-5-8-15;123.07;3-2-10-12-7-1-8-11-14-4-15-6-5-13-9-3;93.6
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;2;5-9-12-3-13-11-8-10-14-4-6-7-15-2-1-5;99.47;12-11-5-9-1-13-8-10-14-4-6-7-15-2-3-12;95.04
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;3;9-7-14-4-10-5-3-12-2-15-8-1-11-6-13-9;111.75;3-6-2-12-4-5-15-13-8-14-10-7-1-11-9-3;99.7
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP50 PC-3;4;3-9-13-2-10-14-6-5-11-1-4-7-8-15-12-3;106.09;5-14-2-12-10-7-6-3-15-4-8-1-11-13-9-5;85.3
CR-0 PN-10 G-1 PP-5 SM-2 B-2 MAX_STEP100 PC-1;1;9-11-13-1-8-6-7-5-12-15-10-14-2-4-3-9;104.48;9-11-13-1-8-6-7-5-12-15-10-14-2-4-3-9;104.48
